slug,label_de,label_en,pattern
climate,Klima & Umwelt,Climate & Environment,Klima|Umwelt|CO2|Kohle|Fossil|Energie|Fridays for Future|FFF|Greenpeace|BUND|Extinction|Solar|Windkraft|Verkehrswende
housing,Wohnen & Miete,Housing & Rent,Miete|Wohnen|Verdrängung|Sanierung|Gentrifizierung|Mietpreisbremse|Leerstand|Obdachlos|Zwangsräumung|Mietendeckel|Wohnungsnot
iran,Iran,Iran,Iran|Menschenrechte Iran|Islamische Republik|Mahsa|Frau Leben Freiheit|Jin Jiyan Azadî
palestine,Palästina,Palestine,Palästina|Gaza|Westbank|Israel|Siedlungen|Besatzung|Nakba|Waffenstillstand|Waffenlieferung|Rafah|Hamas|Genozid
antifascism,Antifaschismus,Anti-fascism,Antifa|Nazi|Faschismus|Rechtsextrem|NPD|AfD|Neonazi|Rassismus|Rechts|Gegen Rechts
transit,Verkehr & ÖPNV,Transit & Cycling,Fahrrad|ÖPNV|Straßenbahn|BVG|S-Bahn|Radweg|Critical Mass|Verkehrswende|Autofreie|E-Scooter|Fußgänger
labor,Arbeit & Gewerkschaft,Labor & Unions,Streik|Tarifvertrag|TVöD|Gewerkschaft|ver.di|GdL|Lohn|Mindestlohn|Arbeitnehmer|Betriebsrat|Vivantes|Charité
democracy,Demokratie,Democracy,Demokratie|Grundgesetz|Verfassung|Meinungsfreiheit|Pressefreiheit|Versammlungsfreiheit|Wahlrecht|Omnibus
human_rights,Menschenrechte,Human Rights,Menschenrechte|Amnesty|Folter|Flüchtlinge|Asyl|Abschiebung|Geflüchtete|Seenotrettung|UNHCR|Pushbacks
feminism,Feminismus,Feminism,Feminismus|Frauen|Feminizid|Gender|Sexismus|Gleichstellung|8. März|Weltfrauentag|Patriarchat|Pro Choice|Abtreibung
lgbtq,LGBTQ+,LGBTQ+,LGBTQ|Queer|Trans|Homo|Lesbisch|Pride|CSD|Christopher Street|Regenbogen|Rosa Liste
animal_rights,Tierrechte,Animal Rights,Tierrechte|Vegan|Veganismus|Tierversuche|Massentierhaltung|Speziesismus|Pelz|Schlachtung
antisemitism,Antisemitismus,Antisemitism,Antisemitismus|Jüdisch|Holocaust|Shoah|Gedenken|Erinnerungskultur|Synagoge|KZ
armenia,Armenien,Armenia,Armenien|Arzach|Bergkarabach|Völkermord|Genozid|Armenisch
china,China,China,China|Taiwan|Tibet|Xinjiang|Uiguren|Falun Gong|Falun Dafa|Kommunistische Partei|CCP|KP China
russia,Russland,Russia,Russland|Ukraine|Putin|Krieg|Sanktionen|Solidarität Ukraine|Geflüchtete Ukraine
police,Polizei & Justiz,Police & Justice,Polizeigewalt|Racial Profiling|Justiz|Knast|Gefängnis|§129|Freispruch|Cops|ACAB
disability,Behinderung & Inklusion,Disability & Inclusion,Behinderung|Inklusion|Barrierefreiheit|Selbstbestimmt|Assistenz|Gehörlos|Blind|Rollstuhl
mental_health,Psychische Gesundheit,Mental Health,Psychisch|Depression|Suizid|Psychiatrie|Mental Health|Burnout
surveillance,Überwachung & Datenschutz,Surveillance & Privacy,Überwachung|Datenschutz|DSGVO|Gesichtserkennung|Vorratsdatenspeicherung|NSA|BND|Chatkontrolle
